day,block,game,n_trials,ele_mean_abs_error,ele_final_error,ele_final_bias,ele_efficiency,ele_dir_correct,success_rate
1,0,1,14,14.394106456860527,9.918805803571429,-5.467354910714286,0.3191750993201802,0.5833333333333334,0.8571428571428571
1,0,2,12,19.467074823698134,11.915201822916666,-3.5167643229166665,0.22164288928537915,0.09090909090909091,0.75
1,0,3,13,17.877973490366177,12.826622596153847,-0.5727163461538461,0.3356041863069534,0.46153846153846156,0.8461538461538461
1,0,4,11,18.4754182825181,8.605823863636363,-4.676846590909091,0.2153172313776941,0.4,0.8181818181818182
1,0,5,11,16.338336966566224,11.18359375,-5.2531960227272725,0.19636443196778536,0.5,0.6363636363636364
1,0,6,15,13.700815700180478,15.469010416666666,-2.7528645833333334,0.3300202255181286,0.8,0.9333333333333333
1,1,7,11,14.461270568877536,12.080965909090908,-8.220170454545455,0.2226670341706953,0.6363636363636364,0.9090909090909091
1,1,8,12,14.721971089702974,12.848307291666666,4.332682291666667,0.25012659982904084,0.5833333333333334,0.8333333333333334
1,1,9,15,14.327359264322528,17.821354166666666,-2.3203125,0.3127278669750464,0.7333333333333333,0.9333333333333333
1,1,10,12,12.050528981003374,17.3408203125,0.5966796875,0.28610908417279474,0.75,0.8333333333333334
1,1,11,12,12.64989810204825,12.029947916666666,1.2760416666666667,0.2897541332191878,0.8333333333333334,0.8333333333333334
1,1,12,1,18.906698616017604,30.390625,-30.390625,0.12488262910798122,1.0,0.0
1,2,13,13,14.461244903557773,18.35772235576923,-1.3360877403846154,0.354005724262173,0.6923076923076923,0.9230769230769231
1,2,14,11,12.8609356717869,17.547585227272727,-2.3345170454545454,0.2385152683368931,0.8181818181818182,1.0
1,2,15,15,12.798483686515189,14.761848958333333,-8.399348958333333,0.2710724891871457,0.6,1.0
1,2,16,18,16.78100418930228,16.70290798611111,-3.3077256944444446,0.31547963429929893,0.6111111111111112,0.8888888888888888
2,0,17,14,12.451333175399606,22.655133928571427,-5.376116071428571,0.33032723402191105,0.8571428571428571,0.5714285714285714
2,0,18,12,13.538458674924874,14.844401041666666,-4.225911458333333,0.2933839998196485,0.75,0.4166666666666667
2,0,19,12,16.270831411227277,11.999348958333334,-1.5813802083333333,0.18329980441190993,0.25,0.5833333333333334
2,0,20,13,16.501516279108802,16.921875,1.0120192307692308,0.262934925974166,0.46153846153846156,0.6153846153846154
2,0,21,14,14.548805676257972,14.919084821428571,6.406808035714286,0.3124250640093278,0.6923076923076923,0.6428571428571429
2,0,22,12,15.695444194880212,14.817708333333334,-3.5169270833333335,0.2469463866295644,0.2727272727272727,0.5833333333333334
