subject,run,n_trials,n_elevations,el_limit,band,resolution,vsi_none,vsi_arc_mean,vsi_detail,eg_all,ele_rmse_all,ele_sd_all,n_all,eg_mid,ele_rmse_mid,ele_sd_mid,n_mid,suspect
AGV,AGV_21.04_11-14_AGV,75,19,31.25,"(5657, 8000)",filterbank,0.3371870147588114,1.0404570872635945,0.5197871784270061,0.9578295614706711,8.162579105642317,7.649704786377266,64,1.09606964319794,9.643229604493266,7.152265668084591,19,False
AH,AH_16.06_12-08_AH,75,19,31.25,"(5657, 8000)",filterbank,0.38993241213204954,1.0215915112020872,0.5359453838264139,0.8649485376463281,10.474748682133121,8.034480377632612,62,0.9708442157955628,11.923168307200275,7.760185602080944,18,False
CO,CO_17.07_16-26_CO,150,19,31.25,"(5657, 8000)",filterbank,0.6841136107383881,1.0476035144063363,0.7979414735292003,0.9802031423258121,6.595847975736756,6.601867222405236,129,1.0089968250089771,4.8743430821987515,4.799865513392906,40,False
CZ,CZ16.02_13:49,75,19,31.25,"(5657, 8000)",filterbank,0.21512440108292508,1.0465966469096224,0.34905904582869296,0.004743385871606091,19.016700972650256,1.2499945999457986,66,0.007771860083994023,20.40761693517481,0.9142123564840192,22,True
FD,FD_21.07_11-55_FD,150,19,31.25,"(5657, 8000)",filterbank,0.46229758304079777,1.0224612301241351,0.5627657813452025,0.8157963759090469,6.323995980517898,5.152340496899082,134,0.8946497486228012,6.814749223882641,5.78985823503487,43,False
JP,JP29.01_14:41,75,19,31.25,"(5657, 8000)",filterbank,0.6084708808486881,1.034302720776064,0.7219343383518847,0.11675936962288501,19.740827487786504,6.8632935931834576,75,0.21016863312555653,17.358917096608504,5.536569618867728,15,False
JR,JR30.01_14:27,150,19,31.25,"(5657, 8000)",filterbank,0.6981939051766488,1.038452411656293,0.8392422588184139,0.17354784430596373,16.276105479581837,5.8534666472944155,134,0.22556681328245134,15.636548184874009,6.8069538598193375,37,False
JZ,JZ26.01_16:55,75,13,31.25,"(5657, 8000)",filterbank,0.4684602723584735,1.002863880385107,0.6278368220503149,0.2740582808140689,17.540811815823897,9.130157778710293,75,0.17500351976590103,18.620603415412102,7.574146438861243,15,False
MB,MB_17.03_10-59_MB,75,19,31.25,"(5657, 8000)",filterbank,0.8973767945116444,1.0298334610808393,0.9555803668908553,0.0532234340306392,17.796700160846786,3.340473128138391,65,0.038067965595478426,17.314288791556585,4.269336629315356,20,True
MD,MD29.01_14:25,75,13,31.25,"(5657, 8000)",filterbank,0.5113017411523946,1.0605057756241827,0.667259972567543,0.23018535539215687,17.380899941601065,7.0637407189127766,75,0.3651493957027753,13.868891693991321,5.628686389937819,15,False
NK,NK10.03_11-38,75,19,31.25,"(5657, 8000)",filterbank,0.9132869142883736,1.039506648816745,0.8970823219795427,0.30887902585024013,16.026645182173596,9.23700841457829,64,0.5197925085148734,13.132235815792647,9.759576351634552,19,False
NKa,NKa_14.04_10-52_NKa,51,19,31.25,"(5657, 8000)",filterbank,0.4620362563675728,0.9346147448162055,0.601403191717446,0.3936009999641222,15.251398924342682,10.747466713353322,45,0.3936009999641222,15.251398924342682,10.747466713353322,45,False
OS,OS28.01_11:04,75,13,31.25,"(5657, 8000)",filterbank,0.3833342881963664,1.075306504146784,0.526243874786059,0.11660834986716893,19.869119261503883,8.520732659903077,75,0.12014209312080538,23.330712714396846,15.39093246605471,15,False
PFo,PFo09.02_14:57,75,19,31.25,"(5657, 8000)",filterbank,0.48766507850496255,1.0115984593146066,0.5659023859239376,0.05879613865365663,18.28546034151001,4.128048218740865,65,0.06378556133766888,18.498748688549014,5.242166539586847,24,True
RK,RK10.02_13:04,75,19,31.25,"(5657, 8000)",filterbank,0.136213510341122,0.9966195740755511,0.19867486144454877,0.21372304280711643,21.355903360841946,12.890826265890045,64,0.17870064954325424,22.654305895576485,14.820661924613335,19,False
SK,SK_17.03_09-48_SK,75,19,31.25,"(5657, 8000)",filterbank,0.7944547151019183,1.0510537477957373,0.7641967696886202,0.10469008493810733,17.52712212325597,8.128678094561014,62,-0.017654182078839238,18.334350963581077,6.150210605375985,21,False
SS,SS_13.07_14-24_SS,150,19,31.25,"(5657, 8000)",filterbank,0.3297482145213123,0.9691226705841787,0.3811489192291725,0.32360960620625395,18.362487134301833,11.314035428551032,128,0.3418633266599909,18.251124873354208,11.574298185014054,41,False
SW,SW30.01_13:57,150,19,31.25,"(5657, 8000)",filterbank,0.4425985817832897,1.0361483812518597,0.6665931227967625,0.9341553773129385,8.626768152528317,8.402320659502152,128,0.9987337348954332,8.177945178573282,7.530661458942198,40,False
VD,VD_13.04_13-48_VD,57,19,31.25,"(5657, 8000)",filterbank,0.5432892408910877,1.046919916716013,0.6326600079824077,0.8884938920941629,7.950692333771327,7.415743252090377,45,0.8884938920941629,7.950692333771327,7.415743252090377,45,False
