id,set,cat,condition,train_days,games,span_days,test_days,first,last,err
AvS,pilot,trained,KU100 generic,3,84,4,4,2025-12-16,2025-12-19,
MB,pilot,trained,universal generic+notch,6,79,58,6,2026-01-20,2026-03-18,
LS,main,trained,donor detail,4,56,4,4,2026-08-25,2026-08-28,
RK,pilot,trained,"modified, unlabelled (early era)",4,54,4,4,2026-02-10,2026-02-13,
AH,pilot,trained,notch,4,50,4,4,2026-06-16,2026-06-19,
SK,pilot,trained,notch,4,49,4,4,2026-03-17,2026-03-20,
AS,main,trained,donor detail,4,48,4,4,2026-08-18,2026-08-21,
IR,main,trained,donor detail,3,48,3,5,2026-08-12,2026-08-14,
JP,pilot,trained,notch,4,47,4,5,2026-03-03,2026-03-06,
JZ,pilot,trained,universal generic,3,43,3,4,2026-01-27,2026-01-29,
FP,pilot,trained,donor detail,4,38,4,4,2026-08-24,2026-08-27,
FS,main,trained,donor detail,3,38,4,4,2026-07-28,2026-07-31,
ES,pilot,aborted training,universal generic,2,32,2,2,2026-02-19,2026-02-20,
PFo,pilot,aborted training,"modified, unlabelled (early era)",2,28,2,3,2026-02-09,2026-02-10,
NK,pilot,aborted training,notch,2,22,4,4,2026-03-10,2026-03-13,
GM,main,aborted training,donor detail,2,18,2,2,2026-09-07,2026-09-08,
NR,main,aborted training,donor detail,2,17,2,3,2026-08-25,2026-08-26,
VD,pilot,aborted training,universal generic+notch,1,13,1,3,2026-04-15,2026-04-15,
NKa,pilot,aborted training,notch,1,9,1,2,2026-04-15,2026-04-15,
NW,pilot,aborted training,own/dome only,1,1,1,2,2026-08-19,2026-08-19,
SW,pilot,aborted training,notch,1,1,1,2,2026-03-02,2026-03-02,
AS,pilot,localization only (multi-day),edge shift,0,0,0,5,,,
CA,pilot,localization only (multi-day),synth,0,0,0,4,,,
CO,pilot,localization only (multi-day),synth,0,0,0,5,,,
FD,pilot,localization only (multi-day),"modified, unlabelled (early era)",0,0,0,4,,,
JS,pilot,localization only (multi-day),synth,0,0,0,5,,,
PC,pilot,localization only (multi-day),notch,0,0,0,3,,,
SS,pilot,localization only (multi-day),"modified, unlabelled (early era)",0,0,0,4,,,
VG,pilot,localization only (multi-day),notch,0,0,0,3,,,
AGV,pilot,single session,notch,0,0,0,1,,,
CZ,pilot,single session,own/dome only,0,0,0,1,,,
GLK,pilot,single session,"modified, unlabelled (early era)",0,0,0,1,,,
IM,pilot,single session,own/dome only,0,0,0,2,,,
JF,pilot,single session,own/dome only,0,0,0,1,,,
JR,pilot,single session,own/dome only,0,0,0,1,,,
MD,pilot,single session,own/dome only,0,0,0,1,,,
MSc,pilot,single session,own/dome only,0,0,0,1,,,
NKa_01,pilot,single session,own/dome only,0,0,0,1,,,
OS,pilot,single session,own/dome only,0,0,0,1,,,
SZ,pilot,single session,own/dome only,0,0,0,1,,,
TS,pilot,single session,donor detail,0,0,0,1,,,
UG,pilot,single session,own/dome only,0,0,0,1,,,
PF,main,investigator self-test,own/dome only,1,2,1,3,2026-08-27,2026-08-27,
PF,pilot,investigator self-test,own/dome only,0,0,0,1,,,
