rank,donor,tier,donor_strength,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible,in_band
0,GS,band,3.348269340955893,0.38027901913111617,0.2765355331755307,0.28307816447787976,0.2922483818001431,0.823557877887347,0.2956045245478864,2.193256578947369,0.019720980868883853,True,True
1,GLK,band,3.1892074365953054,0.405434158349249,0.4335976924098682,0.28307816447787976,0.23971425323700485,0.8248976567955694,0.4851156619940574,4.059621710526315,0.005434158349248985,True,True
2,pilot/VD,band,3.044135330075556,0.3363787248513676,0.4764954121844044,0.28307816447787976,0.2063398344304755,0.7842642348827737,0.3176344661361165,11.404194078947368,0.06362127514863242,True,False
3,pilot/AH,band,2.7076101226813787,0.4802250893779308,0.4802484220261834,0.28307816447787976,0.2486029859912763,0.7256280861245171,0.35352477733420284,1.424342105263157,0.08022508937793077,True,False
4,TS,band,3.29914343042412,0.5008025300346343,0.5663874116819001,0.28307816447787976,0.24332596303816223,0.6893996825407898,0.2070693125409804,0.7672697368421035,0.10080253003463424,True,False
5,pilot/NK,band,2.962630315149015,0.5375869556408152,0.6538843495138329,0.28307816447787976,0.23654405082367042,0.6476667897956654,0.4149520648358166,7.237253289473684,0.13758695564081513,True,False
6,CO,band,3.3041532048286255,0.6847953179277049,0.4454739940488559,0.28307816447787976,0.2880599079466934,0.5873250161574735,0.03513936404119486,3.7286184210526327,0.28479531792770485,True,False
7,pilot/MB,band,3.874274859195827,0.7103613122302421,0.5247559432794583,0.28307816447787976,0.23171010217974242,0.47251957542935974,0.04127419580895317,5.262746710526317,0.3103613122302421,True,False
8,PF,band,3.041848540830551,0.8339290239532876,0.795553872375045,0.28307816447787976,0.21962678439788538,0.5273578808932013,0.5262846058151491,-22.698190789473692,0.4339290239532876,False,False
9,pilot/RK,band,2.7273191751259547,0.39738313527900637,0.41459467404279493,0.28307816447787976,0.2514586334284975,0.7663135722961347,0.5482553477851773,-4.277549342105265,0.00261686472099365,False,False
10,pilot/JP,band,3.1490015201852573,0.3637562269095478,0.46273121469695416,0.28307816447787976,0.17641325520909207,0.7419474292249676,0.5605579041085572,5.483963815789476,0.036243773090452236,False,False
11,FS,band,2.6618525034325113,0.3413106759348475,0.5460408446543348,0.28307816447787976,0.1954108551882714,0.759907175286643,0.5631429541033748,-4.164884868421053,0.05868932406515254,False,False
12,pilot/MSc,band,3.468748174016746,0.3157133509197134,0.3881516418296674,0.28307816447787976,0.23494920056523227,0.7738035961848919,0.7114062025709311,6.470394736842105,0.0842866490802866,False,False
13,pilot/SK,band,3.30576832412451,0.7612451144393808,0.6191346167638734,0.28307816447787976,0.21186999687671376,0.41479900101189726,0.7404041488868427,-8.0061677631579,0.3612451144393808,False,False
14,pilot/NKa,band,3.64461975281637,0.534681498902617,0.6478042945907031,0.28307816447787976,0.26265503908177656,0.7370331215052073,0.8894545302779162,-7.456414473684212,0.13468149890261694,False,False
15,FD,band,3.7281744658559477,0.3263158940558692,0.5134242738829056,0.28307816447787976,0.22064653850333388,0.8160424974262339,1.0052588500839235,5.046875,0.07368410594413083,False,False
